iter	Passed	Remaining
0	1	1863
1	6	3441
2	10	3345
3	11	2874
4	16	3341
5	20	3335
6	23	3292
7	30	3726
8	31	3507
9	38	3786
10	44	3968
11	45	3778
12	48	3691
13	57	4047
14	60	3991
15	63	3918
16	67	3879
17	68	3741
18	74	3842
19	78	3851
20	80	3738
21	84	3772
22	89	3788
23	93	3821
24	97	3802
25	102	3840
26	104	3777
27	105	3674
28	107	3603
29	109	3548
30	111	3489
31	113	3422
32	116	3415
33	118	3377
34	119	3306
35	123	3315
36	126	3288
37	127	3232
38	129	3184
39	132	3171
40	133	3115
41	137	3133
42	142	3160
43	145	3162
44	146	3118
45	152	3153
46	153	3115
47	155	3089
48	160	3106
49	164	3133
50	166	3100
51	171	3119
52	174	3126
53	179	3142
54	184	3175
55	186	3151
56	188	3120
57	190	3090
58	193	3085
59	194	3050
60	195	3013
61	197	2982
62	202	3005
63	207	3030
64	213	3067
65	217	3078
66	221	3082
67	222	3054
68	223	3020
69	225	2992
70	226	2968
71	228	2941
72	233	2965
73	234	2936
74	238	2940
75	242	2947
76	248	2983
77	250	2959
78	253	2953
79	258	2973
80	261	2962
81	263	2954
82	264	2927
83	269	2942
84	271	2920
85	272	2900
86	277	2912
87	280	2910
88	284	2912
89	288	2916
90	294	2937
91	296	2921
92	300	2931
93	303	2927
94	308	2939
95	314	2957
96	316	2945
97	318	2930
98	319	2911
99	321	2892
100	326	2904
101	328	2891
102	331	2889
103	333	2870
104	337	2878
105	342	2887
106	347	2901
107	355	2932
108	357	2920
109	358	2901
110	359	2882
111	361	2869
112	366	2874
113	367	2858
114	369	2846
115	371	2828
116	374	2828
117	376	2815
118	378	2805
119	383	2815
120	386	2804
121	387	2789
122	389	2774
123	390	2758
124	391	2742
125	393	2731
126	395	2717
127	396	2703
128	401	2708
129	402	2695
130	406	2699
131	410	2699
132	412	2687
133	416	2690
134	417	2674
135	419	2662
136	423	2667
137	424	2651
138	425	2638
139	427	2627
140	429	2616
141	431	2605
142	434	2603
143	439	2614
144	445	2624
145	446	2614
146	450	2612
147	451	2600
148	453	2588
149	455	2579
150	456	2566
151	460	2570
152	465	2579
153	466	2565
154	468	2551
155	469	2540
156	471	2532
157	475	2536
158	480	2540
159	485	2549
160	488	2546
161	493	2551
162	498	2559
163	502	2563
164	504	2553
165	505	2539
166	506	2526
167	507	2512
168	511	2513
169	515	2518
170	520	2524
171	522	2513
172	527	2520
173	529	2515
174	532	2510
175	534	2500
176	538	2503
177	543	2508
178	545	2502
179	550	2506
180	551	2495
181	552	2483
182	553	2471
183	557	2474
184	560	2467
185	562	2459
186	563	2450
187	565	2441
188	566	2431
189	571	2434
190	572	2423
191	573	2415
192	575	2404
193	578	2404
194	580	2395
195	582	2391
196	585	2385
197	587	2378
198	591	2380
199	593	2375
200	596	2369
201	601	2376
202	605	2378
203	610	2381
204	611	2372
205	613	2365
206	617	2365
207	618	2355
208	622	2357
209	627	2359
210	632	2363
211	636	2364
212	641	2371
213	643	2362
214	644	2353
215	648	2353
216	652	2356
217	657	2357
218	661	2357
219	665	2360
220	668	2356
221	671	2354
222	675	2354
223	677	2346
224	681	2348
