,CatBoost,LightGBM,XGBoost,Mean_Importance
tau2_g2,2.1897580365276896,2.395002935936169,2.2065396,2.2637668677845837
tau4_g4,1.896472889420681,2.1847674212677135,2.0645103,2.0485835520491262
tau1_g1,1.7575647911616108,2.1686343005865196,1.9739747,1.9667245988301874
tau3_g3,1.6754801258726129,2.0303655385599004,1.8146231,1.840156260626471
tau_ratio,1.6154428918869093,2.0368500791920914,1.6219031,1.7580653443152536
tau1,0.8828488031063997,0.859829676373361,0.8199138,0.8541974280036193
tau3,0.8637758008485692,0.8443119698136389,0.7962422,0.834776649382876
tau4,0.8355075991966312,0.8764473631252037,0.78867227,0.8335424102374969
g1,0.8437163677827927,0.7651504250310472,0.65911984,0.7559955457501618
tau2,0.674731530248226,0.7544451388342281,0.7251867,0.7181211248905829
g3,0.7647056145730188,0.7211085102438024,0.6503742,0.7120627663116211
g4,0.7362351774404822,0.709940579147972,0.5778756,0.6746837902515713
g2,0.6112022642518882,0.7063998782693687,0.5730101,0.6302040765115006
